id,set,title,type,options,answer
1,计组单选题,计算机的硬件主要包括：中央处理器 (CPU)、存储器、输出设备和 ( ),single,A.键盘|B.鼠标|C.输入设备|D.显示器,C
2,计组单选题,冯・诺依曼体系结构的核心思想是 (),single,A.程序存储和数据存储分离|B.程序存储和数据存储统一|C.使用二进制表示数据|D.使用十进制表示数据,B
3,计组单选题,存储器的主要功能是 (),single,A.执行指令|B.存储程序和数据|C.输入数据|D.输出数据,B
4,计组单选题,机器字长是指 (),single,A.存储器的容量|B.CPU 一次处理的二进制位数|C.计算机的运算速度|D.计算机的主频,B
5,计组单选题,计算机的主频是指 (),single,A.CPU 的时钟频率|B.存储器的访问速度|C.计算机的运算速度|D.计算机的字长,A
6,计组单选题,操作系统的主要功能是 ( ),single,A.对用户的数据文件进行管理，为用户管理文件提供方便|B.对计算机的所有资源进行统一控制和管理，为用户使用计算机提供方便|C.对源程序进行编译和运行|D.对汇编语言程序进行翻译,B
7,计组单选题,下列各组软件中，全部属于系统软件的一组是 ( ),single,A.程序语言处理程序、操作系统、数据库管理系统|B.文字处理程序、编辑程序、操作系统|C.财务处理软件、金融软件、网络系统|D.WPS Office 2003、Excel 2000、Windows 98,A
8,计组单选题,下列叙述中，正确的是 ( ),single,A.计算机能直接识别并执行用高级程序语言编写的程序|B.用机器语言编写的程序可读性最差|C.机器语言就是汇编语言|D.高级语言的编译系统是应用程序,B
9,计组单选题,存储器容量是指 (),single,A.存储器的大小|B.存储器的访问速度|C.存储器的类型|D.存储器的可靠性,A
10,计组单选题,总线的带宽是指 (),single,A.总线的宽度|B.总线的长度|C.总线的数据传输率|D.总线的电压,C
11,计组单选题,总线的类型包括 (),single,A.数据总线|B.地址总线|C.控制总线|D.以上都是,D
12,计组单选题,同步通信的特点是 (),single,A.通信双方时钟同步|B.通信双方时钟不同步|C.数据传输速度快|D.数据传输速度慢,A
13,计组单选题,异步通信的特点是 (),single,A.通信双方时钟同步|B.通信双方时钟不同步|C.数据传输速度快|D.数据传输速度慢,B
14,计组单选题,系统总线中的数据线、地址线和控制线是根据_____来划分。,single,A.总线所在的位置|B.总线传输的方向|C.总线传输的内容|D.总线传输的时间,C
15,计组单选题,系统总线是用来连接_____。,single,A.寄存器和运算器部件|B.运算器和控制器部件|C.CPU 和存储器、外部设备|D.接口和外部设备,C
16,计组单选题,“总线忙” 信号由_____建立。,single,A.获得总线控制权的设备|B.发出 “总线请求” 的设备|C.总线控制器|D.CPU,A
17,计组单选题,在系统总线中，地址总线 (MAR) 的位数与_____有关。,single,A.机器字长|B.存储单元个数|C.存储字长 (MDR 数据总线)|D.存储器带宽,B
