id,set,title,type,options,answer
1,毛概多选题,中国共产党在探索中国建设道路过程中的理论成果有:(        ),multiple,A.毛泽东《关于正确处理人民内部矛盾的问题》的重要讲话|B.党在过渡时期总路线的制定|C.毛泽东《论十大关系》的发表|D.中共“八大”制定的路线,"A,C,D"
2,毛概多选题,关于《论十大关系》的表述正确的有:(        ),multiple,A.探讨了沿海工业和内地工业的关系|B.它为中共八大的召开做了理论准备|C.它是新中国成立以来中央领导集体深入调查研究的成果|D.探讨了中央与地方的关系,"A,B,C,D"
3,毛概多选题,党领导人民探索社会主义建设道路，历经艰辛和曲折，在理论和实践上取得了一系列重要成果。这些成果具有重要意义:(一 ),multiple,A.丰富了科学社会主义的理论和实践|B.为其他国家的社会主义建设提供了经验和借鉴|C.巩固和发展了我国的社会主义制度|D.为开创中国特色社会主义提供了宝贵经验、理论准备、物质基础,"A,B,C,D"
4,毛概多选题,关于社会主义现代化建设的积极因素表述正确的是(        ),multiple,A.积极因素处于主导、统治地位|B.是社会主义事业必定胜利的可靠保证|C.积极因素与消极因素在一定条件下是可以互相转化的|D.积极因素和消极因素是对立统一的关系,"A,B,C,D"
5,毛概多选题,1956年起，毛泽东开始探索适合中国特点的社会主义建设道路。与此相联系，毛泽东提出了一系列新思想，主要有:(        ),multiple,A.强调独立自主地探索适合中国情况的社会主义建设道路|B.提出以苏联为鉴|C.提出马克思主义同中国实际的“第二次结合”|D.强调改革开放,"A,B,C"
6,毛概多选题,2002年5月，江泽民在中共中央党校省部级干部进修班毕业典礼上深刻阐述了 “三个代表”重要思想的内在联系，提出贯彻“三个代表”重要思想”，( )。,multiple,A.关键在坚持与时俱进|B.目标在坚持党的宗旨|C.本质在坚持执政为民|D.核心在坚持党的先进性,"A,C,D"
7,毛概多选题,新世纪新阶段，我国进入( )，经济社会发展呈现一系列新的阶段性特征。,multiple,A.矛盾凸显期|B.发展关键期|C.开放活跃期|D.改革攻坚期,"A,B,D"
8,毛概多选题,中国特色社会主义理论体系是中国共产党长期探索的伟大理论创造，同( )一脉相承又与时俱进，是马克思主义中国化时代化的重大理论成果。,multiple,A.科学社会主义|B.毛泽东思想|C.空想社会主义|D.马克思列宁主义,"B,D"
9,毛概多选题,习近平新时代中国特色社会主义思想是( )。,multiple,A.21世纪马克思主义|B.普遍的马克思主义|C.当代中国马克思主义|D.国际的马克思主义,"A,C"
10,毛概多选题,中国特色社会主义进入新时代，意味着中国特色社会主义( )不断发展，拓展了发展中国家走向现代化的途径，给世界上那些既希望加快发展又希望保持自身独立性的国家和民族提供了全新选择，为解决人类问题贡献了中国智慧和中国方案。,multiple,A.道路|B.理论|C.文化|D.制度,"A,B,C,D"
11,毛概多选题,邓小平关于社会主义本质的概括:( ),multiple,A.遵循了科学社会主义的基本原则，反映了人民的利益和时代的要求|B.廓清了不合乎时代进步和社会发展规律的模糊观念|C.摆脱了长期以来拘泥于具体模式而忽略社会主义本质的错误倾向|D.深化了对科学社会主义的认识,"A,B,C,D"
12,毛概多选题,邓小平南方谈话中提出“三个有利于”标准:( ),multiple,A.是否有利于增强社会主义国家的综合国力|B.是否有利于融入全球体制|C.是否有利于发展社会主义社会的生产力|D.是否有利于提高人民的生活水平,"A,C,D"
13,毛概多选题,在拨乱反正和改革开放中，以邓小平同志为主要代表的中国共产党人始终坚持( )相统一。,multiple,A.解放思想|B.市场经济|C.实事求是|D.计划经济,"A,C"
14,毛概多选题,1978年12月召开的党的十一届三中全会，实现了党的历史上具有深远意义的伟大转折:( ),multiple,A.停止使用“以阶级斗争为纲”的错误提法|B.作出实行改革开放的重大决策|C.重新确立了解放思想、实事求是的思想路线|D.确定把全党工作的着重点转移到社会主义现代化建设上来,"A,B,C,D"
15,毛概多选题,在改革中，我们始终坚持两条根本原则，一是( )，一是( )。,multiple,A.社会主义公有制|B.市场经济|C.以社会主义公有制经济为主体|D.共同富裕,"C,D"
16,毛概多选题,“三个代表”重要思想从( )方面，揭示了社会主义制度自我完善和发展的途径，,multiple,A.社会基础|B.物质基础|C.政治保证|D.文化支撑,"A,B,D"
17,毛概多选题,2000年5月，江泽民在上海主持党建工作座谈会，强调:“三个代表”重要思想是( )。,multiple,A.立党之本|B.执政之基|C.强国之路|D.力量之源,"A,B,D"
18,毛概多选题,在十六大报告中，江泽民把社会主义( )一起确立为社会主义现代化建设的目标。,multiple,A.精神文明|B.政治文明|C.生态文明|D.物质文明,"A,B,D"
19,毛概多选题,之所以要全面建设小康社会，是因为( )。,multiple,A.总体小康社会偏重于满足物质消费，而文化消费还得不到有效满足|B.我国人均生产的物质产品和物质财富较少，劳动生产率较低|C.存在地区之间、城乡之间的发展不协调、不平衡问题|D.总体小康社会是低水平的、不全面的、不平衡的,"A,B,C,D"
20,毛概多选题,江泽民同志认为，中国共产党必须解决好的两大历史性课题是( )。,multiple,A.防范“四大危险”|B.提高拒腐防变和抵御风险的能力|C.纠正党的不良作风|D.进一步提高党的领导水平和执政水平,"B,D"
21,毛概多选题,科学发展观强调，建设生态文明，实质上就是要建设( )的资源节约型、环境友好型社会。,multiple,A.以可持续发展为目标|B.以自然规律为准则|C.以资源环境承载力为基础|D.以消费改造为主导,"A,B,C"
22,毛概多选题,社会主义协商民主，充分体现了社会主义民主的( ),multiple,A.包容性|B.开放性|C.真实性|D.广泛性,"A,C,D"
23,毛概多选题,科学发展观是( ),multiple,A.中国特色社会主义理论体系的重要组成部分|B.马克思主义关于发展的世界观和方法论的集中体现|C.初步构建了中国特色社会主义理论框架|D.发展中国特色社会主义必须长期坚持的指导思想,"A,B,D"
24,毛概多选题,胡锦涛指出:“新形势下…… ( )更加尖锐地摆在全党面前。”:,multiple,A.能力不足危险|B.消极腐败危险|C.精神懈怠危险|D.脱离群众危险,"A,B,C,D"
25,毛概多选题,科学发展观形成的条件有( ),multiple,A.当今世界发展大势、国外发展的经验教训|B.党带领人民战胜各种风险挑战、坚持和发展中国特色社会主义的成功探索|C.科学判断党的历史方位和总结历史经验|D.社会主义初级阶段基本国情和新的阶段性特征,"A,B,D"
