id,set,title,type,options,answer
1,习概选择题,习近平新时代中国特色社会主义思想被载入宪法是在(        )。,single,A.2018年|B.2017年|C.2019年|D.2020年,A
2,习概选择题,“十四个坚持”属于习近平新时代中国特色社会主义思想的(        )。,single,A.基本方略|B.历史成就|C.主体内容|D.核心要义,A
3,习概选择题,“十三个方面成就”是对新时代(        )的科学总结。,single,A.理论创新|B.制度优势|C.伟大实践|D.文化自信,C
4,习概选择题,“十个明确”中，中国特色社会主义最本质的特征是(        )。,single,A.依法治国|B.中国共产党领导|C.共同富裕|D.以人民为中心,B
5,习概选择题,习近平新时代中国特色社会主义思想实现了马克思主义中国化时代化的(        )。,single,A.根本性飞跃|B.伟大飞跃|C.新的飞跃|D.历史性飞跃,C
6,习概选择题,“两个结合”是指马克思主义基本原理同中国具体实际相结合、同(        )相结合。,single,A.中国革命实践|B.中华优秀传统文化|C.中国现代化道路|D.中国改革开放,B
7,习概选择题,“六个必须坚持”中，体现了中国共产党人境界格局的是(        )。,single,A.坚持自信自立|B.坚持系统观念|C.坚持胸怀天下|D.坚持守正创新,C
8,习概选择题,习近平新时代中国特色社会主义思想回答的重大时代课题不包括(        )。,single,A.建设什么样的长期执政的马克思主义政党|B.怎样建设社会主义现代化强国|C.坚持和发展什么样的中国特色社会主义|D.怎样实现全球治理体系变革,D
9,习概选择题,习近平新时代中国特色社会主义思想被写入党章是在(        )。,single,A.党的二十大|B.党的十八届六中全会|C.党的十九届六中全会|D.党的十九大,D
10,习概选择题,“六个必须坚持”中，体现根本价值立场的是(        )。,single,A.坚持人民至上|B.坚持守正创新|C.坚持问题导向|D.坚持自信自立,A
11,习概选择题,习近平指出，中国特色社会主义“不是其他什么主义”，其根本依据是中国特色社会主义始终坚持了(        )。,single,A.中国共产党的领导|B.社会主义市场经济体制|C.以经济建设为中心|D.科学社会主义基本原则,D
12,习概选择题,下列关于“新时代我国社会主要矛盾”的说法中，正确的是(        )。,single,A.人民日益增长的物质文化需要已经得到完全满足|B.社会主要矛盾的变化意味着我国已经跨越社会主义初级阶段|C.发展不平衡不充分问题是社会主要矛盾的主要方面|D.社会主要矛盾的变化改变了我国基本国情,C
13,习概选择题,不属于党的十九届五中全会赋予“四个全面战略布局新内涵的是()知识点：专题测试,single,A.全面深化改革|B.全面建成小康社会|C.全面从严治党|D.全面依法治国,B
14,习概选择题,中国特色社会主义是实现中华民族伟大复兴的(        )。,single,A.根本保障|B.必由之路|C.精神力量|D.行动指南,B
15,习概选择题,“四个自信”中，更基础、更广泛、更深厚的自信是(        )。,single,A.文化自信|B.制度自信|C.道路自信|D.理论自信,A
16,习概选择题,中国特色社会主义的根本制度保障是(        )。,single,A.中国特色社会主义文化|B.中国特色社会主义理论体系|C.中国特色社会主义道路|D.中国特色社会主义制度,D
17,习概选择题,习近平指出，中国特色社会主义“写出了科学社会主义的‘新版本’”。这里的“新版本”强调的是(        )。,single,A.在坚持基本原则基础上赋予鲜明的中国特色|B.简单延续我国历史文化的母版|C.照搬西方现代化发展模式|D.完全抛弃了科学社会主义基本原则,A
18,习概选择题,中国特色社会主义进入新时代，是我国发展新的(        )。,single,A.历史方位|B.历史起点|C.历史坐标|D.历史阶段,A
