id,set,title,type,options,answer
1,android-single,"在移动通信技术发展中,以数字语音传输技术为核心的是( )。",single,A.第二代移动通信技术(2G)|B.第三代移动通信技术(3G)|C.第四代移动通信技术(4G)|D.第五代移动通信技术(5G),A
2,android-single,"Android 项目中的主题和样式资源,通常放在( ) 目录下?",single,A.res/drawable|B.res/layout|C.res/values|D.assets,C
3,android-single,"下列关于 AndroidManifest.xml文件的说法中,错误的是( )。",single,A.它是整个程序的配置文件|B.可以在该文件中配置程序所需的权限|C.可以在该文件中注册程序用到的组件|D.该文件可以设置UI布局,D
4,android-single,Android 中短信、联系人管理、浏览器等属于Android 系统架构中的( )一层。,single,A.应用程序层|B.应用程序框架层|C.核心类库层|D.Linux 内核层,A
5,android-single,帧布局 FrameLayout 是将其中的组件放在自己的()位置。,single,A.左上角|B.右上角|C.左下角|D.右下角,A
6,android-single,"下列关于 RelativeLayout 的描述,正确的是()。",single,"A.RelativeLayout表示绝对布局,可以自定义控件的x、y的位置|B.RelativeLayout表示帧布局,可以实现标签切换的功能|C.RelativeLayout 表示相对布局,其中控件的位置都是相对位置|D.RelativeLayout表示表格布局,需要配合 TableRow一起使用",C
7,android-single,"在XML 布局中定义了一个Button,决定 Button 按钮上显示文字的属性是( )",single,A.android:value|B.android:text|C.android:id|D.android:textvalue,B
8,android-single,"使用 EditText控件时,当文本内容为空时,如果想做一些提示,那么可以使用的属性是( )。",single,A.android:text|B.android:background|C.android:inputType|D.android:hint,D
9,android-single,"下列关于 ListView的说法中,正确的是( )。",single,"A.ListView 的条目不能设置点击事件|B.ListView 不设置 Adapter 也能显示数据内容|C.当数据超出能显示范围时,ListView 自动具有可滚动的特性|D.若 ListView 当前能显示10条,一共有100条数据,则产生了100个View",C
10,android-single,"下列选项中,不属于Android 四大组件的是()。",single,A.Service|B.Activity|C.Handler|D.ContentProvider,C
11,android-single,"下列选项中,哪个不是Activity 生命周期方法()。",single,A.onCreate()|B.startActivity()|C.onStart()|D.onResume(),B
12,android-single,"Android 对数据库的表进行查询操作时,会使用SQLiteDatabase 类中的( )方法。",single,A.insert()|B.execSQL()|C.query()|D.update(),C
13,android-single,"下列关于 SQLite 数据库的描述中,错误的是()。",single,"A.SqliteOpenHelper类有创建数据库和更新数据库版本的的功能。|B.SqliteDatabase 类是用来操作数据库的。|C.每次调用 SqliteDatabase 的 getWritableDatabase方法时,都会执行 SqliteOpenHelper 的onCreate()方法。|D.当数据库版本发生变化时,会调用 SqliteOpenHelper 的onUpgrade()方法更新数据库。",C
14,android-single,"自定义内容观察者时,需要继承的类是( )。",single,A.BaseObserver|B.ContentObserver|C.BasicObserver|D.DefalutObserver,B
