id,set,title,type,options,answer
1,毛概单选题,促使我党思考和探索如何走中国工业化道路的直接原因是(        ),single,A.我国生产力落后，经济基础薄弱|B.受苏联的影响，强调重工业的发展。|C.我国重工业、农业和轻工业发展的比例失调|D.以苏为鉴，吸取苏联在建设社会主义中的教训,D
2,毛概单选题,《论十大关系》的前五条主要讨论经济问题，其中前三条讲重工业和轻工业、农业的关系，沿海工业和内地工业的关系，经济建设和国防建设的关系。这实际上明确提出了:,single,A.中国的工业化道路问题|B.工业发展的平衡问题|C.中国的经济建设问题|D.中国的工业发展问题,A
3,毛概单选题,我国走工业化道路的根本原因是(        ),single,A.新中国的工业基础十分薄弱|B.中国民族工业发展已经具有了深厚的基础|C.是中国共产党重视国家工业化的一贯政策|D.实现民族独立和国家富强的内在要求和必要条件,D
4,毛概单选题,党的八大正确分析了社会主义改造完成后我国社会主要矛盾的变化，提出今后党和国家的工作重点是(        ),single,A.技术革命和社会主义建设|B.调动一切积极因素，为社会主义事业服务|C.正确处理人民内部矛盾，巩固社会主义制度|D.集中力量发展生产力，建设社会主义现代化强国,A
5,毛概单选题,《论十大关系》的报告围绕的基本方针是(        ),single,A.自力更生为主，争取外援为辅|B.调动一切积极因素，为社会主义事业服务|C.走中国特色社会主义道路|D.独立自主,B
6,毛概单选题,毛泽东认为社会主义社会基本矛盾的特点是(        ),single,A.不相适应又不相矛盾|B.又相适应又相矛盾|C.相适应|D.相矛盾,B
7,毛概单选题,成为党探索中国社会主义建设道路良好开端的文章，是毛泽东发表的:,single,A.《论十大关系》|B.《关于正确处理人民内部矛盾的问题》|C.《纪念孙中山先生》|D.《论人民民主专政》,A
8,毛概单选题,我党提出的“三个主体、三个补充”意味着:,single,A.发展商品生产会导致资本主义|B.社会主义国家要消除商品经济|C.在我国经济建设发展过程中，也要发挥非公有制经济和市场的作用|D.商品经济是资本主义的本质特征,C
9,毛概单选题,不属于《论十大关系》讨论范畴的是(        ),single,A.社会主义市场经济和计划经济的关系|B.国家、生产单位和生产者个人的关系|C.革命和反革命的关系|D.重工业和轻工业、农业的关系,A
10,毛概单选题,解决科学文化领域的矛盾应坚持的方针是(        ),single,A.团结-批评-团结|B.异域文化之间的交流与碰撞|C.文化交流和艺术实践|D.百家争鸣、百花齐放,D
11,毛概单选题,党的十一届三中全会以后，以( )同志为主要代表的中国共产党人，领导全党和全国人民果断地纠正了这些错误，深刻地分析了错误出现的原因，同时又坚决地维护和继承了过去在理论上和实践上所取得的一切积极成果。,single,A.胡耀邦|B.陈云|C.邓小平|D.叶剑英,C
12,毛概单选题,1982年邓小平在党的十二大开幕词中明确提出:走自己的道路，( )。,single,A.建设社会主义市场经济|B.建设有中国特色的社会主义|C.实现马克思主义中国化时代化|D.建设社会主义初级阶段,B
13,毛概单选题,( )的宪法修正案正式将邓小平理论载入宪法。,single,A.2000年|B.2001年|C.1999年|D.1998年,C
14,毛概单选题,20世纪70年代，整个世界发生着大变动大调整，时代主题是( ),single,A.合作与共赢|B.革命与战争|C.开放与融通|D.和平与发展,D
15,毛概单选题,科技进步日新月异，以( )为核心的高新技术的发展，极大地改变了人们的生产、生活方式和国际经济、政治关系……,single,A.全球化|B.经济革命|C.多极化|D.信息技术,D
16,毛概单选题,2017年，党的( )把习近平新时代中国特色社会主义思想确立为党必须长期坚持的指导思想并庄严地写入党章，实现了党的指导思想的与时俱进。,single,A.十八大|B.十七大|C.十九大|D.二十大,C
17,毛概单选题,以胡锦涛同志为主要代表的中国共产党人，创造性地回答了( )这一重大问题。,single,A.什么是马克思主义，怎样发展马克思主义|B.建设什么样的党，怎样建设党|C.什么是社会主义，怎样建设社会主义|D.实现什么样的发展、怎样发展,D
18,毛概单选题,首次对“三个代表”进行了比较全面的阐述是( )。,single,A.1989年党的十四届三中全会|B.1997年党的十五大|C.2000年，江泽民在广东考察工作时|D.2001年7月1日，江泽民在庆祝中国共产党成立80周年大会上的讲话,C
19,毛概单选题,党的( )把科学发展观写入党章，科学发展观进一步走向成熟。,single,A.十七大|B.十六大|C.十八大|D.十九大,A
20,毛概单选题,1978年12月召开的党的十一届三中全会，重新确立了( )的思想路线，彻底否定了 “以阶级斗争为纲”的错误理论和实践。,single,A.独立自主|B.解放思想|C.群众路线|D.实事求是,D
21,毛概单选题,建设中国特色社会主义的总依据是( ),single,A.社会主义根本任务理论|B.社会主义改革开放理论|C.社会主义初级阶段理论|D.社会主义本质理论,C
22,毛概单选题,1980年5月，( )第一次提出了 “社会主义的本质”这个概念。,single,A.胡锦涛|B.江泽民|C.邓小平|D.毛泽东,C
23,毛概单选题,社会主义的根本任务是( ),single,A.发展生产力|B.掌控意识形态领导权|C.群众运动|D.阶级斗争,A
24,毛概单选题,邓小平理论首要的基本理论问题是( ),single,A.社会主义的根本任务问题|B.社会主义的发展动力问题|C.社会主义的发展阶段问题|D.什么是社会主义，怎样建设社会主义的问题,D
25,毛概单选题,邓小平在南方谈话中再次明确了( )的观点。,single,A.“社会主义初级阶段”|B.“解放思想”|C.“党的基本路线”|D.“科学技术是第一生产力”,D
26,毛概单选题,邓小平理论活的灵魂是( ),single,A.“三个有利于”标准|B.解放思想，实事求是思想路线|C.改革开放|D.四项基本原则,B
27,毛概单选题,社会主义的本质，是解放生产力，发展生产力，消灭剥削，消除两极分化，最终达到( )。,single,A.现代化国家|B.小康社会|C.现代化强国|D.共同富裕,D
