id,set,title,type,options,answer
1,计组填空题,浮点数阶码位数影响数的 ___，尾数的位数影响数的。,short,,范围;精度
2,计组填空题,CPU 中的 6 个主要寄存器：程序计数器，，________，，________ ，________。,short,,地址寄存器;数据寄存器;(标志) 寄存器;指令寄存器;累加器
3,计组填空题,如果 Cache 的容量分为 128 块，在直接映象下，主存中第 300 块映象到高速缓存 Cache 中第____块。,short,,44
4,计组填空题,如果 Cache 的容量分为 128 块，在直接映象下，主存中第 286 块映象到高速缓存 Cache 中第____块。,short,,30
5,计组填空题,动态 RAM 的三种刷新方式是____、和。,short,,集中刷新;分散刷新;异步刷新
6,计组填空题,欲传递信息为 1100101，使用偶配置原则的汉明码是____。,short,,00111000101
7,计组填空题,欲传递信息为 1100101，使用奇配置原则的汉明码是 。,short,,11101001101
8,计组填空题,微机系统中总线通常有____、和,short,,地址总线;数据总线;控制总线
9,计组填空题,指令在执行阶段不需要访问存储器的数据寻址方式是____和____ 。,short,,立即寻址;寄存器寻址
10,计组填空题,补码 1.0000 表示_______________。,short,,-1
11,计组填空题,补码 11011010 进行算术右移一位结果是________________。,short,,11101101
12,计组填空题,某整数定点机，字长位 8 位 (含 1 位符号位)，当机器数分别采用原码、补码、反码，其对应的真值范围分别为________、___、。,short,,-127~ 127;-128~ 127;-127~127
13,计组填空题,寄存器直接寻址操作数在_______中，寄存器间接寻址操作数在__________中，所以执行指令的速度前者比后者______。,short,,寄存器;存储器;快
14,计组填空题,一个总线传输周期包括 ________、________ 、________ 和________ 四个阶段,short,,申请分配阶段;寻址阶段;传输阶段;结束阶段
15,计组填空题,"假设总线的时钟频率位 100MHz, 总线的传输周期为 4 个时钟周期，总线宽度 32 位，则总线的数据传输率为_______。若不改变总线时钟周期，使总线的数据传输率提高一倍，可采取______的措施。",short,,100MBps;总线的数据线宽度改为 64 位
16,计组填空题,在计算机术语中，将____ 和____ 和在一起称为 CPU，而将 CPU 和____ 合在一起称为主机。,short,,运算器;控制器;主存储器
17,计组填空题,计算机软件一般分为两大类：一类叫____ ，另一类叫____ 。操作系统属于____ 类。,short,,系统软件;应用软件;系统软件
18,计组填空题,"主存储器容量通常以 MB 表示，其中 M = ____ , B =____; 硬盘容量通常以 GB 表示，其中 G = ____",short,,2^20;8 位 (1 个字节);2^30
19,计组填空题,系统总线按传输信息的不同分为____、 ____ 、____ 三大类,short,,数据总线;地址总线;控制总线
20,计组填空题,总线的判优控制方式包括____、和。,short,,链式查询;计数器查询;独立查询
21,计组填空题,计算机的主存容量与____有关，其容量为____。,short,,存储单元个数和存储字长;存储单元个数 * 存储字长
22,计组填空题,半导体 SRAM 靠____ 存储信息，半导体 DRAM 靠_______存储信息。,short,,触发器;电容
23,计组填空题,动态 RAM 的刷新方式通常有____、____、____三种。,short,,集中刷新;分散刷新;异步刷新
24,计组填空题,如果 Cache 的容量为 128 块，在直接映象下，主存中第 498 块映象到缓存第____块。,short,,114
25,计组填空题,如果 Cache 的容量为 128 块，在直接映射下，主存中第 410 块映射到缓存第____块。,short,,26
26,计组填空题,如果 Cache 的容量为 128 块，在直接映射下，主存中第 354 块映射到缓存第____块。,short,,98
27,计组填空题,存储系统层次结构中，解决 CPU 和主存速度不匹配问题的是____。,short,,缓存 - 主存
28,计组填空题,存储系统层次结构中，主要解决存储系统容量问题的是 ____。,short,,主存 - 辅存
29,计组填空题,半导体存储芯片的译码驱动方式有两种:____和 ____ 。,short,,线选法;重合法
30,计组填空题,若地址线为 20 根，字长为 32 位，按字节寻址空间为____，按字寻址空间为____。,short,,1M;256K
31,计组填空题,SRAM 芯片 6116 (2k×8 位) 有____位地址线、____位数据线。,short,,11;8
32,计组填空题,保存当前欲执行的指令的寄存器称为____，保存当前欲执行的指令的地址的寄存器称为____。(需填写中文全称和英文缩写),short,,指令寄存器 (IR);程序计数器 (PC)
33,计组填空题,4 位二进制补码所能表示的十进制整数范围是_____至________。,short,,-8;+ 7
34,计组填空题,整数定点机中，8 位二进制反码所能表示的十进制整数范围是 ____至 ____ 。,short,,-127;+127
35,计组填空题,整数定点机中，8 位二进制补码所能表示的十进制整数范围是____至 ____ 。,short,,-128;+127
36,计组填空题,常见的集中控制优先权仲裁方式有____ 、计数器定时查询和独立请求方式。,short,,链式查询
37,计组填空题,在小数定点机中，采用 1 位符号位，若寄存器内容为 10000000，当它分别表示为原码、补码和反码时，其对应的真值分别为____、和(均用十进制表示)。,short,,-0.0;-1;-(1-2 ^-7)
38,计组填空题,在整数定点机中，采用 1 位符号位，若寄存器内容为 10000000，当它分别表示为原码、补码和反码时，其对应的真值分别为____、和(均用十进制表示)。,short,,-0;-128;-127
39,计组填空题,SRAM 芯片 6116 (2k×8 位) 有_______位地址线、_______位数据线。,short,,11;8
40,计组填空题,如果 Cache 的容量为 128 块，在直接映象下，主存中第 356 块映象到缓存第____块。,short,,100
