id,set,title,type,options,answer
1,习概多选题,“两个结合”的重大意义包括(        )。,multiple,A.提升了党的历史自信和文化自信|B.标志着马克思主义中国化的完成|C.拓展了中国特色社会主义道路的文化根基|D.开辟了理论和实践创新空间,"A,C,D"
2,习概多选题,习近平新时代中国特色社会主义思想的鲜明特色包括(        )。,multiple,A.认识论与方法论相统一|B.历史与现实相贯通|C.全球治理与中国发展相分离|D.理论与实践相结合,"A,B,D"
3,习概多选题,习近平新时代中国特色社会主义思想的创立背景包括(        )。,multiple,A.科学社会主义在世界范围内全面复兴|B.中华民族伟大复兴进入关键时期|C.中国式现代化全面推进拓展|D.世界百年未有之大变局加速演进,"B,C,D"
4,习概多选题,“六个必须坚持”包括(        )。,multiple,A.坚持守正创新|B.坚持人民至上|C.坚持共商共建|D.坚持自信自立,"A,B,D"
5,习概多选题,“十个明确”包括以下哪些内容(        )。,multiple,A.明确中国式现代化的世界意义|B.明确全面推进依法治国总目标|C.明确全面深化改革总目标|D.明确中国特色社会主义总任务,"B,C,D"
6,习概多选题,"中国特色社会主义坚持科学社会主义基本原则,并赋予其鲜明的中国特色包括 ()知识点：专题测试",multiple,"A.坚持人民代表大会制度的根本政治制度|B.坚持公有制为主体多种所有制经济共同发展,坚持按劳分配为主体多种分配方式并存|C..坚持社会主义市场经济体制|D.中国共产党领导的多党合作和政治协商制度","A,B,C,D"
7,习概多选题,党的基本路线中“两个基本点”是(        )。,multiple,A.以经济建设为中心|B.坚持改革开放|C.坚持四项基本原则|D.坚持党的领导,"B,C"
8,习概多选题,中国特色社会主义制度的根本制度有()知识点：专题测试,multiple,A.人民代表大会制度|B.党的领导制度|C.基层群众自治制度|D.马克思主义指导制度,"A,B,D"
9,习概多选题,"改革开放以来,我们取得一切成绩和进步的根本原因,就是().知识点：专题测试",multiple,A.发展了中国特色社会主义文化。|B.确立了中国特色社会主义制度|C.开辟了中国特色社会主义道路|D.形成了中国特色社会主义理论体系,"A,B,C,D"
10,习概多选题,"中国特色社会主义进入了新时代的判断,是",multiple,A.基于我国发展进入新阶段的伟大成就|B.基于党的新的奋斗目标|C.基于社会主要矛盾发生新变化|D.基于我国面临的国际环境,"A,B,C,D"
11,习概多选题,中国式现代化的中国特色包括(        )。,multiple,A.先污染后治理的现代化|B.全体人民共同富裕的现代化|C.物质文明和精神文明相协调的现代化|D.人口规模巨大的现代化,"B,C,D"
12,习概多选题,全面建成社会主义现代化强国的战略安排分为两步走，分别是(        )。,multiple,A.到2025年基本实现新型工业化|B.到本世纪中叶把我国建成社会主义现代化强国|C.到2035年基本实现社会主义现代化|D.到2030年成为世界第一大经济体,"B,C"
13,习概多选题,中国式现代化的本质要求包括(        )。,multiple,A.推动构建人类命运共同体|B.实现高质量发展|C.坚持中国特色社会主义|D.坚持中国共产党领导,"A,B,C,D"
14,习概多选题,中国梦的本质包括(        )。,multiple,A.民族振兴|B.国家富强|C.人民幸福|D.世界大同,"A,B,C"
15,习概多选题,全面建成小康社会的里程碑意义包括(        )。,multiple,A.实现了第一个百年奋斗目标|B.历史性地解决了绝对贫困问题|C.为实现中华民族伟大复兴提供了更为坚实的物质基础|D.标志着我国已进入发达国家行列,"A,B,C"
16,习概多选题,党的领导是全面的，体现在(        )。,multiple,A.领导贯穿于各项工作全过程|B.领导内容涵盖各项事业|C.领导对象覆盖各类组织|D.领导仅体现在中央层面,"A,B,C"
17,习概多选题,中国特色社会主义最本质的特征是中国共产党领导，这是因为党的领导(        )。,multiple,A.是照搬西方政治制度的结果|B.是由中国最广大人民根本利益决定的|C.是由实现中华民族伟大复兴历史任务决定的|D.是在近代以来中国历史发展中形成的,"B,C,D"
18,习概多选题,中国共产党是中国特色社会主义事业的（　　）。,multiple,A.推动者|B.开创者|C.引领者|D.发动者,"A,B,C"
19,习概多选题,党的领导制度体系主要包括(        )。,multiple,A.健全党的全面领导制度|B.健全为人民执政、靠人民执政各项制度|C.完善坚定维护党中央权威和集中统一领导的各项制度|D.建立不忘初心、牢记使命的制度,"A,B,C,D"
20,习概多选题,坚持和加强党的全面领导，使党在(        )方面的能力显著增强。,multiple,A.思想引领力|B.社会号召力|C.政治领导力|D.群众组织力,"A,B,C,D"
21,习概多选题,人民是历史的创造者，体现在(        )。,multiple,A.人民是社会变革的决定力量|B.人民是少数精英的代表|C.人民是社会精神财富的创造者|D.人民是社会物质财富的创造者,"A,C,D"
22,习概多选题,人民立场是中国共产党的根本政治立场，要求我们(        )。,multiple,A.始终追求个人利益最大化|B.始终保持党同人民群众的血肉联系|C.始终热爱人民、尊重人民、敬畏人民|D.始终牢记党的初心和使命,"B,C,D"
23,习概多选题,坚持以人民为中心，体现了(        )。,multiple,A.西方政治文明的核心价值|B.历史唯物主义基本原理|C.我们党总结历史经验、把握历史规律得出的重要结论|D.新时代坚持和发展中国特色社会主义的根本立场,"B,C,D"
24,习概多选题,坚持人民至上，要解决好(        )的问题。,multiple,A.依靠谁|B.由谁来创造|C.为了谁|D.由谁来评价,"A,C,D"
25,习概多选题,扎实推进共同富裕，必须把握好的原则包括(        )。,multiple,A.尽力而为、量力而行|B.坚持基本经济制度|C.鼓励勤劳创新致富|D.坚持循序渐进,"A,B,C,D"
26,习概多选题,改革开放永无止境，这是(        )的反映。,multiple,A.世界社会主义实践经验|B.社会基本矛盾运动规律|C.推进党和人民事业发展的必然要求|D.西方现代化发展模式,"A,B,C"
27,习概多选题,正确处理改革发展稳定的关系，必须(        )。,multiple,A.把改善人民生活作为结合点|B.在保持社会稳定中推进改革发展|C.通过改革发展促进社会稳定|D.把改革的力度、发展的速度和社会可承受的程度统一起来,"A,B,C,D"
28,习概多选题,坚持全面深化改革开放的正确方向，必须(        )。,multiple,A.坚持效率优先|B.坚持和完善中国特色社会主义制度|C.坚持和改善党的全面领导|D.坚持以人民为中心,"B,C,D"
29,习概多选题,坚持重大改革于法有据，要求(        )。,multiple,A.立法要滞后于改革进程、先改革后补法|B.改革和法治同步推进|C.不适应改革要求的法律法规要及时修改或废止|D.实践证明行之有效的要及时上升为法律,"B,C,D"
30,习概多选题,全面深化改革开放要坚持正确方法论，包括(        )。,multiple,A.统筹改革发展稳定|B.增强系统性、整体性、协同性|C.加强顶层设计和摸着石头过河相结合|D.胆子要大、步子要稳,"A,B,C,D"
31,习概多选题,我国经济发展处于(        )阶段，我国发展进入新常态。,multiple,A.增长速度换挡期|B.质量转型提升期|C.结构调整阵痛期|D.前期刺激政策消化期,"A,C,D"
32,习概多选题,推动高质量发展，必须坚持(        )。,multiple,A.速度第一|B.规模优先|C.效益优先|D.质量第一,"C,D"
33,习概多选题,进入(        )、贯彻(        )、构建(        )，是由我国经济社会发展的理论逻辑、历史逻辑、现实逻辑决定的，三者紧密关联。,multiple,A.新发展时期|B.新发展理念|C.新发展阶段|D.新发展格局,"B,C,D"
34,习概多选题,新发展格局的主要内容包括(        )。,multiple,A.以国内大循环为主体|B.扩大对外开放|C.以出口为导向|D.国内国际双循环相互促进,"A,D"
35,习概多选题,推进供给侧结构性改革，关键在于理解(        )。,multiple,A.供给性|B.周期性|C.倾向性|D.结构性,D
