id,set,title,type,options,answer
1,android-multiple,下列属于 EditText控件特有的属性(TextView控件不具备)的有( ),multiple,A.android:hint|B.android:textColor|C.android:password|D.android:phoneNumber,"A,C,D"
2,android-multiple,"关于 RecyclerView控件,下列说法正确的有( )",multiple,A.可实现横向列表、瀑布流等多种展示效果|B.强制要求使用 ViewHolder 类规范代码|C.需手动实现条目对象的复用逻辑|D.可通过 setItemAnimator()为条目添加动画,"A,B,D"
3,android-multiple,SQLite 数据库事务的ACID特性包括( ),multiple,A.原子性|B.一致性|C.隔离性|D.持久性,"A,B,C,D"
4,android-multiple,ContentResolver 对 ContentProvider 数据的操作方法有( ),multiple,A.query()|B.insert()|C.update()|D.delete(),"A,B,C,D"
5,android-multiple,以下关于 Fragment 的说法正确的有( ),multiple,A.依赖 Activity 存在|B.有自己的生命周期|C.可动态添加到 Activity|D.能独立运行,"A,B,C"
6,android-multiple,Intent 可以传递的数据类型有( ),multiple,A.String|B.int|C.boolean|D.Serializable 对象,"A,B,C,D"
7,android-multiple,Android 中的数据存储方式有( ),multiple,A.文件存储|B.SharedPreferences 存储|C.SQLite 数据库存储|D.网络存储,"A,B,C,D"
8,android-multiple,Android 针对HTTP实现网络通信的方式主要包括()。,multiple,A.使用HttpURLConnection 实现|B.使用 ServiceConnection 实现|C.使用HttpClient 实现|D.使用HttpConnection 实现,"A,C"
9,android-multiple,下列关于回调机制相关方法的描述正确的是()。,multiple,A.onKeyDown()方法主要用于捕捉手机键盘被按下的事件|B.onKeyUp()方法主要用于捕捉键盘按键弹起的事件|C.onTouchEvent()方法主要用于处理屏幕的触摸事件|D.onFocusChanged()方法主要用于处理焦点改变的事件,"A,B,C,D"
10,android-multiple,Android 中的HttpURLConnection 中的输入/输出流操作被统一封装成了(),multiple,A.HttpGet|B.HttpPost|C.HttpRequest|D.HttpResponse,"A,B"
11,android-multiple,下列哪些是Fragment 的生命周期回调方法(),multiple,A.onAttach|B.onCreate|C.onDestroyView|D.onDetach,"A,B,C,D"
12,android-multiple,SQLite 数据库操作通常需要使用以下哪些类(),multiple,A.SQLiteOpenHelper|B.SQLiteDatabase|C.Cursor|D.ContentValues,"A,B,C,D"
13,android-multiple,广播接收者的注册方式包括(),multiple,A.静态注册|B.动态注册|C.自动注册|D.手动注册,"A,B"
14,android-multiple,关于 Service 的说法正确的是( ),multiple,A.Service 是运行在后台的服务|B.Service 可以在后台长期运行|C.Service 可以与用户进行交互|D.Service 需要在 AndroidManifest.xml 中注册,"A,B,D"
15,android-multiple,View 的绘制流程包括(),multiple,A.measure|B.layout|C.draw|D.animate,"A,B,C"
16,android-multiple,SharedPreferences.Editor 接口提供的方法包括( ),multiple,A.putString()|B.putInt()|C.apply()|D.commit(),"A,B,C,D"
17,android-multiple,Android 中动画的类型包括(),multiple,A.逐帧动画|B.补间动画|C.属性动画|D.过渡动画,"A,B,C"
18,android-multiple,下列关于监听接口机制相关方法的描述正确的是()。,multiple,A.OnClickListener 接口专门用于处理控件的点击事件|B.OnLongClickListener 专门用于处理长按事件|C.OnKeyListener 专门用于监听键盘事件|D.OnTouchListener 专门用于处理手机屏幕的触摸事件,"A,B,C,D"
19,android-multiple,下列关于Handler 消息机制中包含的四个关键对象的描述正确的是( )。,multiple,A.Message|B.Handler|C.MessageQueue|D.Looper,"A,B,C,D"
20,android-multiple,"下列选项中,关于广播类型的说法,错误的是()。",multiple,"A.Android 中的广播类型分有序广播和无序广播|B.无序广播是按照一定的优先级进行接收|C.无序广播可以被拦截,可以被修改数据|D.有序广播按照一定的优先级进行发送","B,C"
21,android-multiple,"广播机制作为Android组件间的通信方式,使用的场景有以下哪些? ( )",multiple,A.在同一个App内部的同一组件内进行消息通信|B.不同 App 的组件之间进行消息通信|C.在同一个App内部的不同组件之间进行消息通信(单个进程)|D.在同一个App具有多个进程的不同组件之间进行消息通信,"A,B,C,D"
22,android-multiple,下列属于 Android 四大组件的有(),multiple,A.Activity|B.Service|C.BroadcastReceiver|D.SQLite,"A,B,C"
23,android-multiple,以下属于Android 常用布局管理器的是(),multiple,A.LinearLayout|B.RelativeLayout|C.FrameLayout|D.TableLayout,"A,B,C,D"
24,android-multiple,"关于 Activity生命周期,以下属于可见生命周期方法的有()",multiple,A.onStart()|B.onResume()|C.onPause()|D.onStop(),"A,B,C,D"
25,android-multiple,Android 中常用的数据持久化存储方式有(),multiple,A.SharedPreferences|B.SQLite 数据库|C.内部存储/外部存储文件|D.静态变量存储,"A,B,C"
26,android-multiple,下列关于 Intent 的说法正确的有(),multiple,A.Intent 分为显式Intent 和隐式 Intent|B.显式 Intent可直接指定目标组件类名|C.隐式 Intent 通过 Action、Category、Data 匹配组件|D.Intent 无法传递自定义对象数据,"A,B,C"
27,android-multiple,Android 中实现异步任务的常用方式有(),multiple,A.Handler+Thread|B.AsyncTask|C.Kotlin 协程|D.主线程直接耗时操作,"A,B,C"
28,android-multiple,"关于Android权限,以下说法正确的有()",multiple,A.Android6.0及以上需要动态申请危险权限|B.静态权限只需在AndroidManifest.xml 中注册|C.存储、相机、麦克风属于危险权限|D.所有权限都需要动态申请,"A,B,C"
29,android-multiple,下列属于 Service 服务特点的有(),multiple,"A.运行在后台,无独立界面|B.可执行后台下载、音乐播放等耗时任务|C.分为本地服务和远程服务|D.服务启动后无法停止","A,B,C"
30,android-multiple,以下属于Android UI 常用控件的有(),multiple,A.TextView|B.Button|C.RecyclerView|D.Toast,"A,B,C,D"
31,android-multiple,"关于Android 网络请求,下列说法正确的有()",multiple,A.网络请求必须在子线程执行|B.OkHttp、 Retrofit 是主流网络请求框架|C.需要在清单文件中添加网络权限|D.主线程可以直接发起HTTP请求,"A,B,C"
