id,set,title,type,options,answer
1,听力第一章,,single,A. Feeling happy.|B. Feeling miserable.|C. Feeling cheerful.|D. Feeling healthy.,B
2,听力第一章,,single,A. Living in a peaceful society.|B. Shared experiences and family.|C. Living a life without complaining.|D. Individual feelings of enjoyment.,D
3,听力第一章,,single,A. Learning from traditional Japanese people.|B. Being ashamed of your wrinkles or laughter lines.|C. Accepting the fact of not being perfect.|D. Celebrating your age as you get old.,C
4,听力第一章,,single,A. Concepts of happiness.|B. Phrases related to happiness.|C. Happiness in different countries.|D. Russell's book about happiness.,A
5,听力第一章,,single,A. It is held at Guangdong Museum on Nov. 25 each year.|B. Nine cities from different provinces have participated in it.|C. It was hosted by a magazine of the Xinhua News Agency.|D. Around 300 guests participated in the forum.,D
6,听力第一章,,single,A. Around one month.|B. Around three months.|C. Over one month.|D. Over three months.,D
7,听力第一章,,single,A. Tianhe is a main district in the suburb of Guangzhou.|B. Tianhe ranked 62nd in the medical health index.|C. Tianhe possesses a strong service industry.|D. Tianhe aims at attracting more international companies.,C
8,听力第一章,,single,A. Middle class folks are happier than rich people.|B. People are happier when they are getting older.|C. People are happier when they are not with children.|D. Achievements provide everlasting happiness for us.,D
9,听力第一章,,single,A. Accomplishments in life give us enduring happiness.|B. Working for others brings us sustaining happiness.|C. Becoming rich makes us happy.|D. Being a useful person to others makes us happy.,D
10,听力第一章,,single,A. We become happy when we are thinking and doing what is right.|B. We become happy when we thank others instead of ourselves.|C. We become happy when we taste the most delicious food.|D. We become happy when we are not trying to achieve goals.,A
11,听力第一章,,single,A. Teaching English in the classroom.|B. Making content for teaching English creatively.|C. Providing career consultation.|D. Doing business with a corporation.,B
12,听力第一章,,single,A. Because they will grow up to do a job that doesn't exist yet.|B. Because their jobs will be taken by AI.|C. Because creativity will be the most important skill in the future.|D. Because creativity is hard to learn in school.,A
13,听力第一章,,single,A. How to easily measure and test skills.|B. How to use skills in a creative way.|C. How to think inside the box.|D. How to compete with AI and automation.,B
14,听力第一章,,single,A. We need to find more work space.|B. We need to focus on one task.|C. We need to ride a bike instead of driving a car.|D. We need to take a break to think divergently.,D
15,听力第一章,,single,A. An 11-year-old game designer and his product.|B. The maker movement in China.|C. The Maker Faire in Beijing.|D. The growing popularity of maker education.,D
16,听力第一章,,single,A. It shows students' wild imagination and unrestrained creativity.|B. It's a future engine for China's economic growth.|C. It promotes the maker spirit in the education system.|D. It has enormous potential for entrepreneurship and innovation.,C
17,听力第一章,,single,A. Exploring maker education.|B. Building maker spaces.|C. Developing maker movement.|D. Planning innovation contests.,A
18,听力第一章,,single,A. Because this stage requires gathering information.|B. Because this stage seeks feedback from others.|C. Because this stage requires conscious thinking.|D. Because this stage requires rest.,D
19,听力第一章,,single,A. The solution comes out of nowhere.|B. Existing ideas are connected in new ways.|C. It comes after long hours of efforts.|D. It's in which the "Aha" moment happens.,A
20,听力第一章,,single,A. It was proposed by Graham Wallas in 1920s.|B. It consists of four stages.|C. It was the best model to understand the creative thinking process.|D. It's not the only one model of the creative thinking process.,D
21, 听力第一章,,single,A. She is afraid of the possible danger.|B. She is too shy to talk to strangers.|C. She doesn't know what to say.|D. She meets very few strangers every day.,C
22, 听力第一章,,single,A. It usually leads to bad things.|B. It normally causes awkwardness.|C. It usually has an undesirable outcome.|D. It normally goes well.,D
23, 听力第一章,,single,A. We often underestimate its benefits.|B. We feel it's hard to get over the fear.|C. We are less chatty talking to strangers.|D. We can't make friends with strangers.,A
24, 听力第一章,,single,A. Negative feelings do harm to our health.|B. Talking to strangers is good for people.|C. Interesting facts are good starters in a talk.|D. Everyone should be chatty and sociable.,B
25, 听力第一章,,single,A. The relationship between the individual and society.|B. The importance of cooperation in a society.|C. The features of a perfect society.|D. The social responsibilities of every individual.,A
26, 听力第一章,,single,A. Because society is a complicated concept.|B. Because people see perfection differently.|C. Because humans don't deserve utopias.|D. Because individuals are the contradictions of a society.,B
27, 听力第一章,,single,A. To figure out the characteristics of a perfect society.|B. To be a compassionate person towards others.|C. To seek out the idealist goal of a society.|D. To fight for the sustainability of a society.,B
28, 听力第一章,,single,A. Because of the bad living environment.|B. Because of the disbelief from the public.|C. Because of the low salary they get.|D. Because of their educational background.,C
29, 听力第一章,,single,A. To develop the people doing the social work.|B. To become a local teacher in rural areas.|C. To care for and protect the environment.|D. To advocate equality in society.,A
