id,set,title,type,options,answer
1,计算机组成原理,计算机的硬件主要包括：中央处理器 (CPU)、存储器、输出设备和 ( ),single,A.键盘|B.鼠标|C.输入设备|D.显示器,C
2,计算机组成原理,冯・诺依曼体系结构的核心思想是 (),single,A.程序存储和数据存储分离|B.程序存储和数据存储统一|C.使用二进制表示数据|D.使用十进制表示数据,B
3,计算机组成原理,存储器的主要功能是 (),single,A.执行指令|B.存储程序和数据|C.输入数据|D.输出数据,B
4,计算机组成原理,机器字长是指 (),single,A.存储器的容量|B.CPU 一次处理的二进制位数|C.计算机的运算速度|D.计算机的主频,B
5,计算机组成原理,计算机的主频是指 (),single,A.CPU 的时钟频率|B.存储器的访问速度|C.计算机的运算速度|D.计算机的字长,A
6,计算机组成原理,操作系统的主要功能是 ( ),single,A.对用户的数据文件进行管理，为用户管理文件提供方便|B.对计算机的所有资源进行统一控制和管理，为用户使用计算机提供方便|C.对源程序进行编译和运行|D.对汇编语言程序进行翻译,B
7,计算机组成原理,下列各组软件中，全部属于系统软件的一组是 ( ),single,A.程序语言处理程序、操作系统、数据库管理系统|B.文字处理程序、编辑程序、操作系统|C.财务处理软件、金融软件、网络系统|D.WPS Office 2003、Excel 2000、Windows 98,A
8,计算机组成原理,下列叙述中，正确的是 ( ),single,A.计算机能直接识别并执行用高级程序语言编写的程序|B.用机器语言编写的程序可读性最差|C.机器语言就是汇编语言|D.高级语言的编译系统是应用程序,B
9,计算机组成原理,存储器容量是指 (),single,A.存储器的大小|B.存储器的访问速度|C.存储器的类型|D.存储器的可靠性,A
10,计算机组成原理,总线的带宽是指 (),single,A.总线的宽度|B.总线的长度|C.总线的数据传输率|D.总线的电压,C
11,计算机组成原理,总线的类型包括 (),single,A.数据总线|B.地址总线|C.控制总线|D.以上都是,D
12,计算机组成原理,同步通信的特点是 (),single,A.通信双方时钟同步|B.通信双方时钟不同步|C.数据传输速度快|D.数据传输速度慢,A
13,计算机组成原理,异步通信的特点是 (),single,A.通信双方时钟同步|B.通信双方时钟不同步|C.数据传输速度快|D.数据传输速度慢,B
14,计算机组成原理,系统总线中的数据线、地址线和控制线是根据_____来划分。,single,A.总线所在的位置|B.总线传输的方向|C.总线传输的内容|D.总线传输的时间,C
15,计算机组成原理,系统总线是用来连接_____。,single,A.寄存器和运算器部件|B.运算器和控制器部件|C.CPU 和存储器、外部设备|D.接口和外部设备,C
16,计算机组成原理,“总线忙” 信号由_____建立。,single,A.获得总线控制权的设备|B.发出 “总线请求” 的设备|C.总线控制器|D.CPU,A
17,计算机组成原理,在系统总线中，地址总线 (MAR) 的位数与_____有关。,single,A.机器字长|B.存储单元个数|C.存储字长 (MDR 数据总线)|D.存储器带宽,B
18,计算机组成原理,关于总线的叙述，以下正确的是_____。 I 总线忙信号由总线控制器建立 II 计数器定时查询方式不需要总线同意信号 III 链式查询、计数器查询、独立请求方式所需控制线路由少到多排序：链式查询、独立请求方式、计数器查询,single,A.I、II|B.II、III|C.只有 III|D.只有 II,D
19,计算机组成原理,所谓三总线结构的计算机是指______。,single,A.地址线、数据线和控制线三组传输线。|B.I/O 总线、主存总统和 DMA 总线三组传输线|C.I/O 总线、主存总线和系统总线三组传输线|D.设备总线、主存总线和控制总线三组传输线.。,B
20,计算机组成原理,存储器的分类包括 (),single,A.主存储器和外存储器|B.高速缓存和主存储器|C.硬盘和光盘|D.RAM 和 ROM,A
21,计算机组成原理,主存储器的主要特点是 (),single,A.存储容量大|B.存储速度快|C.存储容量小|D.存储速度慢,B
22,计算机组成原理,在下述存储设备中，不可以直接被 CPU 访问的是 ( ),single,A.内存|B.寄存器|C.硬盘|D.Cache,C
23,计算机组成原理,能直接与 CPU 交换信息的存储器是 ( ),single,A.硬盘存储器|B.CD-ROM|C.内存储器|D.软盘存储器,C
24,计算机组成原理,高速缓存 (Cache) 的主要作用是 (),single,A.增加存储容量|B.提高存储速度|C.减少存储成本|D.提高数据安全性,B
25,计算机组成原理,随机存取存储器 (SRAM) 的特点是 (),single,A.速度快，成本高|B.速度慢，成本低|C.速度快，成本低|D.速度慢，成本高,A
26,计算机组成原理,只读存储器 (ROM) 的主要特点是 (),single,A.数据可以随时读写|B.数据只能读取，不能写入|C.数据在断电后丢失|D.数据存储速度非常快,B
27,计算机组成原理,可编程只读存储器 (PROM) 的特点是 (),single,A.数据可以多次写入|B.数据只能写入一次|C.数据可以随时修改|D.数据在断电后丢失,B
28,计算机组成原理,可擦写可编程只读存储器 (EPROM) 的特点是 (),single,A.数据可以多次写入|B.数据只能写入一次|C.数据可以通过紫外线擦除|D.数据在断电后丢失,C
29,计算机组成原理,电可擦写可编程只读存储器 (EEPROM) 的特点是 (),single,A.数据可以多次写入|B.数据只能写入一次|C.数据可以通过电擦除|D.数据在断电后丢失,C
30,计算机组成原理,存储器与 CPU 的连接主要包括 (),single,A.数据总线|B.地址总线|C.控制总线|D.以上都是,D
31,计算机组成原理,常用的虚拟存储器寻址系统由______两级存储器组成。,single,A.主存 - 辅存|B.Cache - 主存|C.Cache - 辅存|D.主存 — 硬盘。,A
32,计算机组成原理,下列叙述中______是正确的。,single,A.主存可由 RAM 和 ROM 组成|B.主存只能由 ROM 组成|C.主存只能由 RAM 组成|D.主存只能由 SRAM 组成。,A
33,计算机组成原理,存储器的地址线用于 (),single,A.传输数据|B.传输地址|C.传输控制信号|D.传输时钟信号,B
34,计算机组成原理,存储器的数据线用于 (),single,A.传输数据|B.传输地址|C.传输控制信号|D.传输时钟信号,A
35,计算机组成原理,存储器的控制线用于 (),single,A.传输数据|B.传输地址|C.传输控制信号|D.传输时钟信号,C
36,计算机组成原理,存储器的容量通常用什么单位表示？,single,A.字节 (Byte)|B.位 (Bit)|C.字 (Word)|D.块 (Block),A
37,计算机组成原理,一个 256K×8 位的存储器，其地址线和数据线总和为_____。,single,A.16|B.18|C.26|D.20,C
38,计算机组成原理,一个 256K×8 位的存储器，其地址线和数据线总和为_____。 256K = 2^8 * 2^10 = 2^18 地址线：18 根，数据线 8 根,single,A.16|B.18|C.26|D.20,C
39,计算机组成原理,某计算机字长是 16 位，它的存储容量是 64KB，按字编址，它们寻址范围是 ( ) 。 1B = 8 位 1 字 = 16 位 = 2B 存储容量：64K B = 32K 字 (2 B),single,A.64K|B.32KB|C.32K|D.16KB,C
40,计算机组成原理,Cache 的替换策略包括 (),single,A.随机替换|B.最近最少使用 (LRU)|C.先进先出 (FIFO)|D.以上都是,D
41,计算机组成原理,Cache 的基本概念是 (),single,A.一种存储器|B.一种处理器|C.一种输入设备|D.一种输出设备,A
42,计算机组成原理,Cache 工作原理的核心是 (),single,A.数据预取|B.数据压缩|C.数据加密|D.数据缓存,D
43,计算机组成原理,需要定期刷新的存储芯片是______。,single,A.EPROM|B.DRAM|C.SRAM|D.EEPROM,B
44,计算机组成原理,适合做 Cache 的存储芯片是______。,single,A.EPROM|B.DRAM|C.SRAM|D.EEPROM,C
45,计算机组成原理,Cache - 主存地址的映射方式包括:,single,A.直接映射|B.全相联映射|C.组相联映射|D.以上都是,D
46,计算机组成原理,直接映射方式的特点是 (),single,A.每个主存块只能映射到一个 Cache 块|B.每个主存块可以映射到任意一个 Cache 块|C.每个主存块可以映射到一组 Cache 块|D.每个主存块可以映射到多个 Cache 块,A
47,计算机组成原理,全相联映射方式的特点是 (),single,A.每个主存块只能映射到一个 Cache 块|B.每个主存块可以映射到任意一个 Cache 块|C.每个主存块可以映射到一组 Cache 块|D.每个主存块可以映射到多个 Cache 块,B
48,计算机组成原理,组相联映射方式的特点是 (),single,A.每个主存块只能映射到一个 Cache 块|B.每个主存块可以映射到任意一个 Cache 块|C.每个主存块可以映射到一组 Cache 块|D.每个主存块可以映射到多个 Cache 块,C
49,计算机组成原理,下述说法中______是正确的。,single,A.EPROM 是可改写的，因而也是随机存储器的一种|B.EPROM 是可改写的，但它不能用作为随机存储器用|C.EPROM 只能改写一次，故不能作为随机存储器用|D.EPROM 是可改写的，但它能用作为随机存储器用。,B
50,计算机组成原理,以下四种类型的半导体存储器中，以传输同样多的字为比较条件，则读出数据传输率最高的是 ______。,single,A.DRAM|B.SRAM|C.闪速存储器|D.EPROM,B
51,计算机组成原理,RAM 芯片字扩展时可以 _______。,single,A.增加存储器字长|B.增加存储单元数量|C.提高存储器的速度|D.降低存储器的平均价格,B
52,计算机组成原理,RAM 芯片位扩展时可以 ________。,single,A.增加存储器字长|B.增加存储单元数量|C.提高存储器的速度|D.降低存储器的平均价格,A
53,计算机组成原理,8 位无符号数的最大值是 (),single,A.127|B.128|C.255|D.256,C
54,计算机组成原理,整数定点机中，8 位原码表示的最大正数是 (),single,A.127|B.128|C.255|D.256,A
55,计算机组成原理,原码表示法中，最高位是 (),single,A.符号位|B.数值位|C.校验位|D.控制位,A
56,计算机组成原理,若采用双符号位补码运算，运算结果的符号位为 10，则 ( )。,single,A.产生了负溢出 (下溢)|B.产生了正溢出 (上溢)|C.运算结果正确，为负数|D.运算结果正确，为正数,A
57,计算机组成原理,计算机中表示地址时，采用____ 。,single,A.原码|B.补码|C.反码|D.无符号数。,D
58,计算机组成原理,运算器由许多部件组成，其核心部分是_____。,single,A.数据总线|B.算术逻辑运算单元|C.累加寄存器|D.多路开关。,B
59,计算机组成原理,设寄存器内容为 11111111，若它等于 +127，则为_____。,single,A.原码|B.补码|C.反码|D.移码。,D
60,计算机组成原理,设机器数采用补码形式 (含 l 位符号位)，若寄存器内容为 9BH，则对应的十进制数为______。,single,A.-27|B.-97|C.-101|D.155。,C
61,计算机组成原理,若采用双符号位补码运算，运算结果的符号位为 10，则 ( )。,single,A.产生了负溢出 (下溢)|B.产生了正溢出 (上溢)|C.运算结果正确，为负数|D.运算结果正确，为正数,A
62,计算机组成原理,不恢复余数法中，若余数为正，则下一步的操作是 (),single,A.减去除数|B.加上除数|C.减去除数并左移一位|D.加上除数并左移一位,A
63,计算机组成原理,在浮点机中，判断原码规格化形式的原则是______。,single,A.尾数的符号位与第一数位不同|B.尾数的第一数位为 1，数符任意|C.尾数的符号位与第一数位相同|D.阶符与数符不同。,B
64,计算机组成原理,在浮点机中，判断补码规格化形式的原则是_____。,single,A.尾数的符号位与第一数位不同|B.尾数的第一数位为 1，数符任意|C.尾数的符号位与第一数位相同|D.阶符与数符不同。,A
65,计算机组成原理,主机是指 ( )。,single,A.CPU、机箱、主板、主存、硬盘|B.控制器|C.运算器和控制器|D.运算器、控制器和主存,D
66,计算机组成原理,某 RAM 芯片，其存储容量为 32K×8 位，采用一位读 / 写线控制读写，该芯片的引脚至少有 ( )。,single,A.23|B.25|C.26|D.27,D
67,计算机组成原理,在 Cache 的地址映射中，若主存中的任意一块均可映射到 Cache 内的任意一块的位置上，则这种方法称为 ( ) 。,single,A.全相联映射|B.直接映射|C.组相联映射|D.混合映射,A
68,计算机组成原理,若采用双符号位补码运算，运算结果的符号位为 01，则 ( )。,single,A.产生了负溢出 (下溢)|B.产生了正溢出 (上溢)|C.运算结果正确，为负数|D.运算结果正确，为正数,B
69,计算机组成原理,设寄存器内容为 10000000，若它等于 - 128，则为 ( )。,single,A.原码|B.补码|C.反码|D.移码,B
70,计算机组成原理,设寄存器内容为 10000000，若它等于 - 0，则为 ( )。,single,A.原码|B.补码|C.反码|D.移码,A
71,计算机组成原理,冯。诺依曼计算机的特点不包括 。,single,A.计算机由运算器、存储器、控制器、输入设备和输出设备五大部件组成|B.指令和数据以同等地位存放于存储器内，并按地址寻访|C.指令和数据以二进制数表示|D.机器以存储器为中心,D
72,计算机组成原理,寄存器间接寻址方式中，操作数处在__( )__。,single,A.通用寄存器|B.主存单元|C.程序计数器|D.堆栈,B
73,计算机组成原理,在 CPU 中专门用来跟踪指令后继地址的寄存器是__( )__。,single,A.主存地址寄存器|B.程序计数器|C.指令寄存器|D.状态条件寄存器,B
74,计算机组成原理,常用的虚拟存储器寻址系统由 ( ) 两级存储器组成,single,A.主存、辅存|B.Cache、主存|C.Cache、辅存|D.主存、主存,A
75,计算机组成原理,( ) 寻址方式所需操作数由指令的形式地址直接给出,single,A.间接寻址|B.直接寻址|C.相对寻址|D.立即寻址,D
76,计算机组成原理,设机器字长为 32 位，存储容量为 16MB，若按字编址，其寻址范围是 ( )。,single,A.8MB|B.2M|C.4M|D.16M,C
77,计算机组成原理,通过窃取 CPU 周期，CPU 让出总线使用权，使主存与 I/O 设备直接交换信息的控制方式是 ( ) 。,single,A.程序查询方式|B.程序中断方式|C.DMA 方式|D.I/O 通道方式,C
78,计算机组成原理,假设机器字长为 8 位，-8 的补码为 ( )。,single,"A.1,1000|B.1,1110111|C.1,0001000|D.1,1111000",D
79,计算机组成原理,计算机系统中硬件能够直接识别的指令是 ( ),single,A.机器指令|B.汇编语言指令|C.高级语言指令|D.特权指令,A
80,计算机组成原理,设机器存储容量为 16KB，若按字节编址，其地址线数是。,single,A.11|B.12|C.13|D.14,D
81,计算机组成原理,所谓三总线结构的计算机是指__( )__。,single,A.地址线、数据线和控制线三组传输线。|B.I/O 总线、主存总统和 DMA 总线三组传输线|C.I/O 总线、主存总线和系统总线三组传输线|D.设备总线、主存总线和控制总线三组传输线。,B
82,计算机组成原理,动态随机存储器每隔 2ms 需要进行动态刷新，以停止读写操作，一次性刷新所有行形式进行刷新的方式是。,single,A.集中刷新|B.分散刷新|C.异步刷新|D.同步刷新,A
83,计算机组成原理,直接寻址方式中，操作数处在___( )_。,single,A.通用寄存器|B.主存单元|C.程序计数器|D.堆栈,B
84,计算机组成原理,在主存和 CPU 之间增加 cache 存储器的目的是,single,A.增加内存容量|B.提高内存可靠性|C.解决 CPU 和主存之间的速度匹配问题|D.增加内存容量，同时加快存取速度,C
85,计算机组成原理,在以下几种存储器中，不能脱机保存信息的是 ( ),single,A.磁盘|B.磁带|C.RAM|D.光盘,C
86,计算机组成原理,001101 是数据 110101______的结果 ( ),single,A.算术左移 2 位|B.逻辑右移 2 位|C.循环右移 2 位|D.循环左移 2 位,B
87,计算机组成原理,110100 是数据 110101________的结果 ( ),single,A.算术左移 2 位|B.逻辑右移 2 位|C.循环右移 2 位|D.循环左移 2 位,A
88,计算机组成原理,将操作数直接写在指令中，这种寻址方式叫做 ( ),single,A.直接寻址|B.相对寻址|C.立即数寻址|D.间接寻址,C
89,计算机组成原理,假设机器字长为 4 位，-6 的反码为 ( )。,single,"A.1,1000|B.0,0110|C.1,1010|D.1,1001",D
90,计算机组成原理,下列哪个二进制数与十进制数 248 相等 ( ),single,A.1111 1111|B.1111 1000|C.1111 1010|D.01111000,B
91,计算机组成原理,下列各装置中，( ) 具有输入及输出功能。,single,A.键盘|B.磁盘驱动器|C.打印机|D.显示器,B
92,计算机组成原理,关于高速缓冲存储器 Cache 的叙述中，正确的是 ( )。,single,A.Cache 的容量大于 RAM|B.Cache 的运行速度高于 RAM|C.Cache 是硬盘的一部分|D.Cache 是为解决内存容量不够,B
93,计算机组成原理,微机系统中总线通常有 ( )。,single,A.数据总线、地址总线和控制总线|B.输入总线、输出总线和运行总线|C.内部总线、外部总线和连接总线|D.运算总线、控制总线和存储总线,A
94,计算机组成原理,有一个 64KB 的内存储器，用十六进制数对它的地址进行编码，则编号可从 0000H 到 ( )。,single,A.1FFFH|B.5FFFH|C.3FFFH|D.FFFFH,D
95,计算机组成原理,存放预执行指令的寄存器是 ( )。,single,A.MAR|B.PC|C.MDR|D.IR,D
96,计算机组成原理,在 CPU 中跟踪指令后续地址的寄存器是 ( )。,single,A.MAR|B.IR|C.PC|D.MDR,C
97,计算机组成原理,存储字长是指 ( )。,single,A.存放在一个存储单元中的二进制代码组合|B.存放在一个存储单元中的二进制代码位数|C.存储单元的个数|D.机器指令的位数,B
98,计算机组成原理,存取周期是指 ( )。,single,A.存储器的写入时间|B.存储器进行连续写操作允许的最短间隔时间|C.存储器进行连续读或写操作允许的最短间隔时间|D.存储器进行连续读操作允许的最短间隔时间,C
99,计算机组成原理,一个 512KB 的存储器，其地址线和数据线的总和是 ( )。,single,A.20|B.17|C.18|D.27,D
100,计算机组成原理,下列存储器中，属于易失性存储器且访问速度最快的是 ( ),single,A.硬盘|B.内存条 (DRAM)|C.寄存器|D.Flash 存储器,C
101,计算机组成原理,Cache 的工作原理基于 ( ),single,A.程序访问的局部性原理|B.存储容量扩展原理|C.总线分时复用原理|D.指令流水线原理,A
102,计算机组成原理,若 Cache 命中率为 90%，Cache 访问时间为 10ns，主存访问时间为 100ns，则平均访问时间为 ( ),single,A.19ns|B.20ns|C.91ns|D.100ns,A
103,计算机组成原理,下列关于 SRAM 和 DRAM 的说法，错误的是 ( ),single,A.SRAM 无需刷新，DRAM 需要定期刷新|B.SRAM 集成度低于 DRAM|C.SRAM 功耗高于 DRAM|D.两者均属于非易失性存储器,D
104,计算机组成原理,存储器扩展时，“位扩展” 的目的是 ( ),single,A.增加存储单元数量|B.增加存储字长|C.提高访问速度|D.降低功耗,B
105,计算机组成原理,存储器扩展时，“字扩展” 的目的是 ( ),single,A.增加存储单元数量|B.增加存储字长|C.提高访问速度|D.降低功耗,A
106,计算机组成原理,虚拟存储器的核心作用是 ( ),single,A.提高存储器访问速度|B.扩大用户可使用的逻辑地址空间|C.减少存储器功耗|D.提高存储器可靠性,B
107,计算机组成原理,下列存储介质中，断电后数据不会丢失的是 ( ),single,A.DRAM|B.SRAM|C.光盘|D.寄存器,C
108,计算机组成原理,主存与 Cache 的地址映射方式中，灵活性最高的是 ( ),single,A.直接映射|B.全相联映射|C.组相联映射|D.段页式映射,B
109,计算机组成原理,存储系统的 “层次结构” 从快到慢、从贵到廉的排序是 ( ),single,A.寄存器→Cache→主存→外存|B.Cache→寄存器→主存→外存|C.寄存器→主存→Cache→外存|D.主存→Cache→寄存器→外存,A
110,计算机组成原理,总线按传输信息类型分类，不包括 ( ),single,A.地址总线|B.数据总线|C.控制总线|D.同步总线,D
111,计算机组成原理,浮点数阶码位数影响数的 ___，尾数的位数影响数的。,short,,范围；精度
112,计算机组成原理,CPU 中的 6 个主要寄存器：程序计数器，，________，，________ ，________。,short,,地址寄存器；数据寄存器；(标志) 寄存器；指令寄存器；累加器
113,计算机组成原理,如果 Cache 的容量分为 128 块，在直接映象下，主存中第 300 块映象到高速缓存 Cache 中第____块。,short,,44
114,计算机组成原理,如果 Cache 的容量分为 128 块，在直接映象下，主存中第 286 块映象到高速缓存 Cache 中第____块。,short,,30
115,计算机组成原理,动态 RAM 的三种刷新方式是____、和。,short,,集中刷新；分散刷新；异步刷新
116,计算机组成原理,欲传递信息为 1100101，使用偶配置原则的汉明码是____。,short,,00111000101
117,计算机组成原理,欲传递信息为 1100101，使用奇配置原则的汉明码是 。,short,,11101001101
118,计算机组成原理,微机系统中总线通常有____、和,short,,地址总线；数据总线；控制总线
119,计算机组成原理,指令在执行阶段不需要访问存储器的数据寻址方式是____和____ 。,short,,立即寻址；寄存器寻址
120,计算机组成原理,补码 1.0000 表示_______________。,short,,-1
121,计算机组成原理,补码 11011010 进行算术右移一位结果是________________。,short,,11101101
122,计算机组成原理,某整数定点机，字长位 8 位 (含 1 位符号位)，当机器数分别采用原码、补码、反码，其对应的真值范围分别为________、___、。,short,,-127~ 127；-128~ 127；-127~127
123,计算机组成原理,寄存器直接寻址操作数在_______中，寄存器间接寻址操作数在__________中，所以执行指令的速度前者比后者______。,short,,寄存器；存储器；快
124,计算机组成原理,一个总线传输周期包括 ________、________ 、________ 和________ 四个阶段,short,,申请分配阶段；寻址阶段；传输阶段；结束阶段
125,计算机组成原理,"假设总线的时钟频率位 100MHz, 总线的传输周期为 4 个时钟周期，总线宽度 32 位，则总线的数据传输率为_______。若不改变总线时钟周期，使总线的数据传输率提高一倍，可采取______的措施。",short,,100MBps；总线的数据线宽度改为 64 位
126,计算机组成原理,在计算机术语中，将____ 和____ 和在一起称为 CPU，而将 CPU 和____ 合在一起称为主机。,short,,运算器；控制器；主存储器
127,计算机组成原理,计算机软件一般分为两大类：一类叫____ ，另一类叫____ 。操作系统属于____ 类。,short,,系统软件；应用软件；系统软件
128,计算机组成原理,"主存储器容量通常以 MB 表示，其中 M = ____ , B =____; 硬盘容量通常以 GB 表示，其中 G = ____",short,,2^20；8 位 (1 个字节)；2^30
129,计算机组成原理,系统总线按传输信息的不同分为____、 ____ 、____ 三大类,short,,数据总线；地址总线；控制总线
130,计算机组成原理,总线的判优控制方式包括____、和。,short,,链式查询；计数器查询；独立查询
131,计算机组成原理,计算机的主存容量与____有关，其容量为____。,short,,存储单元个数和存储字长；存储单元个数 * 存储字长
