id,set,title,type,options,answer
1,操作系统题目,"实时操作系统（RTOS）的主要特点是（  ）。",single,"A. 交互性强|B. 资源利用率高|C. 高可靠性和及时响应|D. 平均周转时间短",C
2,操作系统题目,"当一个进程执行期间因等待 I/O 完成而无法继续执行时，其状态从运行态变为（  ）。",single,"A. 就绪态|B. 阻塞态|C. 终止态|D. 挂起态",B
3,操作系统题目,"下列关于进程和线程的叙述中，正确的是（  ）。",single,"A. 进程是资源分配的基本单位，线程是处理机调度的基本单位|B. 线程是资源分配的基本单位，进程是调度和执行的基本单位|C. 进程和线程都是资源分配的基本单位|D. 同一进程中的线程各自拥有独立的地址空间",A
4,操作系统题目,"下列调度算法中，有利于短作业但需要预先知道作业运行时间，且可能导致长作业饥饿的是（  ）。",single,"A. 先来先服务（FCFS）|B. 短作业优先（SJF）|C. 高响应比优先（HRRN）|D. 时间片轮转（RR）",B
5,操作系统题目,"在抢占式优先级调度算法中，若一个低优先级进程正在运行，此时一个高优先级进程进入就绪队列，则系统会（  ）。",single,"A. 等待当前运行进程运行完毕后再切换|B. 立即抢占 CPU，将当前进程转入就绪队列|C. 仅当当前进程时间片用完时切换|D. 高优先级进程只能等待",B
6,操作系统题目,"在用信号量实现进程互斥时，信号量的初值通常设置为（  ）。",single,"A. 0|B. 1|C. -1|D. n (n > 1)",B
7,操作系统题目,"死锁预防中，通过破坏“请求和保持条件”可采用的方法是（  ）。",single,"A. 允许进程在运行过程中动态申请资源|B. 要求进程一次性地申请其所需的全部资源|C. 系统强制剥夺进程已占有的资源|D. 按资源编号顺序申请资源",B
8,操作系统题目,"在可变分区管理中，首次适应（First Fit）算法的空闲分区链通常按（  ）进行排序。",single,"A. 分区大小递增|B. 分区大小递减|C. 分区起始地址递增|D. 分区起始地址递减",C
9,操作系统题目,"某分页系统的页面大小为 1KB，逻辑地址为 2170，则其对应的页号和页内偏移分别是（  ）。",single,"A. 2, 170|B. 2, 122|C. 3, 122|D. 3, 170",B
10,操作系统题目,"下列页面置换算法中，在理论上性能最优但无法在实际系统中实现的是（  ）。",single,"A. 最佳置换算法（OPT）|B. 先进先出算法（FIFO）|C. 最近最久未使用算法（LRU）|D. 时钟置换算法（Clock）",A
11,操作系统题目,"虚拟存储器的基本特征不包括（  ）。",single,"A. 离散性|B. 多次性|C. 对换性|D. 一次性",D
12,操作系统题目,"在 I/O 控制方式中，数据传输过程主要由专门的硬件控制，无需 CPU 进行干预的方式是（  ）。",single,"A. 程序直接控制方式|B. 中断驱动方式|C. DMA 方式|D. 轮询方式",C
13,操作系统题目,"引入缓冲技术的主要目的是（  ）。",single,"A. 扩大存储容量|B. 缓和 CPU 与 I/O 设备之间速度不匹配的矛盾|C. 实现虚拟存储|D. 增加磁盘备份量",B
14,操作系统题目,"文件系统采用多级目录（树形目录）结构的主要目的是（  ）。",single,"A. 节省存储空间|B. 解决文件重名问题，提高文件检索速度|C. 加快文件读写速度|D. 增加磁盘容量",B
15,操作系统题目,"文件控制块（FCB）是文件系统中最重要的数据结构之一，下列信息中，不属于 FCB 通常包含内容的是（  ）。",single,"A. 文件名|B. 文件大小|C. 文件的具体数据内容|D. 文件在外存的物理地址",C
16,操作系统题目,"在文件系统中，按存取方式对文件进行分类，下列选项正确的是（  ）。",single,"A. 流式文件、记录式文件|B. 顺序存取文件、随机存取文件|C. 有结构文件、无结构文件|D. 普通文件、目录文件、特殊文件",B
17,操作系统题目,"在磁盘空闲空间管理中，每个盘块用一个二进制位来表示其空闲或已分配状态，这种方法称为（  ）。",single,"A. 空闲表法|B. 空闲链表法|C. 位示图法|D. 成组链接法",C
18,操作系统题目,"在进程通信方式中，通过共享内存中的数据缓冲区来交换信息的方式属于（  ）。",single,"A. 共享存储器系统|B. 管道通信系统|C. 消息传递系统|D. 客户机-服务器系统",A
19,操作系统题目,"下列关于段式存储管理的叙述中，错误的是（  ）。",single,"A. 段是信息的逻辑单位，便于程序模块化、共享和保护|B. 段式管理会产生外部碎片|C. 段表项中包含段的基址和段长|D. 一个进程的所有段长度必须相等",D
